"date","ISE","ISE","SP","DAX","FTSE","NIKKEI","BOVESPA","EU","EM"
"3-Jan-11","0.024002222","0.017515472","0.01125131","0.010867538","0.019138055","0","0","0.00963293","0.00816767"
"4-Jan-11","0.009040201","0.01104759","-0.00131389","-0.002060854","0","0","0.005075574","0.006576534","0.004238755"
"5-Jan-11","0.008859545","0.011780211","0.004994592","-0.005106668","0.004976042","-0.001668041","0.010932935","-0.000548291","-0.001180117"
"6-Jan-11","0.006982356","0.00685022","-0.002125149","0.0059722","-0.0040453","0.014250478","-0.007228097","-0.000620243","-0.002646026"
"7-Jan-11","-0.007835122","-0.018754847","-0.001846505","-0.004817217","-0.005864826","0.001070676","-0.007423453","-0.005461397","-0.00681971"
"10-Jan-11","-0.013108757","-0.02632467","-0.001377275","-0.013152041","-0.00468989","-0.002884327","0.000998688","-0.009845709","-0.00670868"
"11-Jan-11","-0.003035482","0.001794767","0.003718222","0.012249195","0.009640602","0","0.00421203","0.012638036","0.004772614"
"12-Jan-11","0.003760527","0.009064051","0.008967269","0.018159931","0.006083883","0.000201679","0.017035947","0.014396731","0.011872228"
"13-Jan-11","0.009546783","0.016297588","-0.001712249","0.000895086","-0.004439078","0.007293934","-0.012813303","-0.000367489","-0.002109322"
"14-Jan-11","-0.010199048","-0.004700228","0.007357426","8.34E-5","-0.003625482","-0.008603672","0.003091891","-0.000761239","0.00023762"
"17-Jan-11","-0.015563411","-0.015367702","0.001375442","0.00033348","-0.002736117","0.000363777","-0.004676834","-0.002146761","-0.004536707"
"18-Jan-11","-0.006049411","0.004579527","0","0.009195994","0.011742273","0.001533643","0.004394866","0.010994785","0.002405877"
"19-Jan-11","0.000520727","-0.003209007","-0.010167185","-0.008532191","-0.013246988","0.003617375","-0.012229011","-0.01064461","0.001085768"
"20-Jan-11","-0.017835035","-0.03165166","-0.001295772","-0.008292367","-0.018371758","-0.011411733","-0.007105029","-0.010087879","-0.010442022"
"21-Jan-11","0.00974406","-0.000510833","0.002410664","0.005416474","0.004828217","-0.015719842","-0.006186256","0.00839604","-0.006853521"
"24-Jan-11","-0.011067076","-0.007426254","0.005819323","0.000757244","0.008040448","0.0068469","0.004243655","0.004157979","-0.001144755"
"25-Jan-11","-0.00074888","0.004638645","0.00026336","-0.001240198","-0.004417624","0.011466987","-0.010395646","-0.004044152","-0.000885489"
"26-Jan-11","0.012326085","0.005404402","0.004212062","0.009634681","0.008665055","-0.00599245","0","0.007096901","0.005018525"
"27-Jan-11","-0.014082114","-0.014976415","0.002241765","0.003952976","-0.000687095","0.007352326","-0.009622771","0.00191942","-0.001148903"
"28-Jan-11","-0.028498178","-0.038598966","-0.018013749","-0.007403399","-0.014130991","-0.011355753","-0.020082457","-0.010477804","-0.009911919"
"31-Jan-11","0.001056216","-0.008883033","0.007633327","-0.00357116","-0.003150467","-0.011886581","-0.001845836","-0.002649511","-0.005788719"
"1-Feb-11","0.024115793","0.035256817","0.016555814","0.014976002","0.016056924","0.003566623","0.018926038","0.015088586","0.006223865"
"2-Feb-11","0.007446755","0.014238624","-0.002726279","-8.35E-5","0.00707485","0.017640939","-0.017230143","0.001617824","0.003631322"
"3-Feb-11","-0.02447813","-0.027850188","0.002351473","0.001392468","-0.002803881","-0.002489383","0.001153964","-0.002883468","0.000476055"
"4-Feb-11","0.02450661","0.013959227","0.002880096","0.003127022","0.002353787","0.0106948","-0.0226618","0.002761148","-0.003184935"
"7-Feb-11","-0.0061961","0.008552888","0.006220742","0.009298107","0.008897506","0.004591322","0.001423858","0.008216678","-0.00334572"
"8-Feb-11","0.005355587","0.006885706","0.004176098","0.005424862","0.006637976","0.004139817","0.006237962","0.003980283","-0.004498994"
"9-Feb-11","0.004822987","-0.00325487","-0.002789697","-0.000319582","-0.006423159","-0.001707929","-0.023895466","-0.003024061","-0.014248555"
"10-Feb-11","-0.017664432","-0.024920602","0.00074922","0.002643718","-0.005351106","-0.001147786","0.00559025","-0.003742423","-0.014759632"
"11-Feb-11","0.004782286","0.00641822","0.005492239","0.004203526","0.007100974","0.011240935","0.018077126","0.004727187","0.003930882"
"14-Feb-11","-0.002497928","0.000404514","0.002382143","0.003443976","-0.000461932","0","0.012122826","0.000168532","0.013448054"
"15-Feb-11","0.003606376","0.000892722","-0.003240202","0.000460915","-0.003802537","0.001968126","-0.003265641","-0.00054988","-0.001430447"
"16-Feb-11","0.008599056","0.013399898","0.006237986","0.001925162","0.007952263","0.005717493","0.01837079","0.006974609","0.003038986"
"17-Feb-11","0.009310309","0.015977203","0.003070891","-0.00118625","0.000345034","0.002619553","0.001685693","-0.000580515","0.001038585"
"18-Feb-11","0.000190969","-0.001652602","0.001922906","0.002872108","-0.000723066","0.00056828","0.005627925","0.000571574","0.006937873"
"21-Feb-11","-0.013069043","-0.013705988","-0.020742153","-0.014238861","-0.011274897","0.001357583","-0.011941676","-0.012615329","-0.000957736"
"22-Feb-11","-0.007246324","-0.01944185","0","-0.000472672","-0.002997105","-0.017919626","-0.012251554","-0.005464894","-0.014296931"
